rep,plot,fungicide_treatment,disease_severity_percent,yield_pounds_per_acre
1,101,NA,5,3272
1,102,NA,15,3088
1,103,NA,13,3389
1,104,NA,21,2906
1,105,NA,17,2917
1,106,NA,38,2348
1,107,NA,30,2813
1,108,NA,17,3021
1,109,NA,6,3584
1,110,NA,38,2158
1,111,NA,32,2432
1,112,NA,60,1635
1,113,NA,24,2593
1,114,NA,45,2791
1,115,NA,27,2542
2,201,NA,21,3131
2,202,NA,6,3436
2,203,NA,31,2535
2,204,NA,33,2635
2,205,NA,12,2936
2,206,NA,19,2877
2,207,NA,16,3074
2,208,NA,3,3400
2,209,NA,34,2380
2,210,NA,69,1675
2,211,NA,30,2869
2,212,NA,30,2580
2,213,NA,23,2869
2,214,NA,30,2916
2,215,NA,24,2569
3,301,NA,17,3140
3,302,NA,37,2846
3,303,NA,16,3496
3,304,NA,35,2125
3,305,NA,38,2267
3,306,NA,39,2423
3,307,NA,7,3305
3,308,NA,30,2535
3,309,NA,9,3293
3,310,NA,36,2762
3,311,NA,6,3405
3,312,NA,66,1594
3,313,NA,11,3361
3,314,NA,25,2932
3,315,NA,2,3575
4,401,NA,44,1994
4,402,NA,19,3168
4,403,NA,34,2630
4,404,NA,47,1921
4,405,NA,29,2563
4,406,NA,24,3032
4,407,NA,5,3566
4,408,NA,3,3425
4,409,NA,23,2832
4,410,NA,22,2888
4,411,NA,62,1798
4,412,NA,31,2887
4,413,NA,25,2837
4,414,NA,1,3803
4,415,NA,33,2750
